"Story","Title","Result","Date","Stability","Duration (s)"
"user","POST As admin I have be able to create new product","SUCCESS","2023-05-10T12:24:56.669+07:00[Asia/Bangkok]","0.0","0.41"
"user","GET As admin I have be able to get product by id","SUCCESS","2023-05-10T12:24:57.099+07:00[Asia/Bangkok]","0.0","0.8"
"user","DELETE As admin i want to delete product","SUCCESS","2023-05-10T12:24:57.923+07:00[Asia/Bangkok]","0.0","0.29"
"user","POST As admin I have be able to assign product rating","SUCCESS","2023-05-10T12:24:58.228+07:00[Asia/Bangkok]","0.0","0.3"
"user","GET As admin I have be able to get product rating","SUCCESS","2023-05-10T12:24:58.542+07:00[Asia/Bangkok]","0.0","0.32"
"user","POST As admin I have be able to post comment product","SUCCESS","2023-05-10T12:24:58.879+07:00[Asia/Bangkok]","0.0","0.29"
"user","GET As admin I have be able to get product comment","SUCCESS","2023-05-10T12:24:59.19+07:00[Asia/Bangkok]","0.0","0.43"
"user","POST As admin I have be able to make product category","SUCCESS","2023-05-10T12:24:59.636+07:00[Asia/Bangkok]","0.0","0.3"
"user","GET As admin I have be able to get product category","SUCCESS","2023-05-10T12:24:59.946+07:00[Asia/Bangkok]","0.0","0.27"
"user","DELETE As admin i have be able to delete product category","SUCCESS","2023-05-10T12:25:00.229+07:00[Asia/Bangkok]","0.0","0.27"
"user","POST As admin I have be able to register","SUCCESS","2023-05-10T12:25:00.513+07:00[Asia/Bangkok]","0.0","0.25"
"user","POST As admin I have be able to login","SUCCESS","2023-05-10T12:25:00.769+07:00[Asia/Bangkok]","0.0","0.28"
"user","GET As admin I have be able to get user information","SUCCESS","2023-05-10T12:25:01.053+07:00[Asia/Bangkok]","0.0","0.29"
"user","GET As admin I have be able to get orders","SUCCESS","2023-05-10T12:25:01.358+07:00[Asia/Bangkok]","0.0","0.5"
